extraction,dataset,layer,treatment,random_mean,random_lo,random_hi,randfix_mean,randfix_lo,randfix_hi,shuffled_mean,shuffled_lo,shuffled_hi,floor_mean_bag,gain_over_floor
final_token,S2_1P,27,0.919,0.5056,0.3607,0.642,0.4878,0.2492,0.7456,0.4982,0.3826,0.5918,0.8715,0.0475
final_token,S2_3P,emb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.882,-0.382
final_token,S2_3P,0,0.8,0.5001,0.394,0.6028,0.4926,0.3247,0.656,0.5003,0.3955,0.5985,0.882,-0.082
final_token,S2_3P,1,0.8045,0.4985,0.3974,0.6075,0.4962,0.3322,0.659,0.5002,0.3857,0.6015,0.882,-0.0775
final_token,S2_3P,2,0.8365,0.4956,0.3967,0.599,0.5023,0.3417,0.6626,0.4992,0.3942,0.606,0.882,-0.0455
final_token,S2_3P,3,0.829,0.4992,0.4017,0.5984,0.5019,0.348,0.6695,0.4983,0.371,0.6018,0.882,-0.053
final_token,S2_3P,4,0.829,0.4995,0.3982,0.6125,0.502,0.3367,0.6575,0.4988,0.3847,0.5973,0.882,-0.053
final_token,S2_3P,5,0.826,0.4978,0.4102,0.5895,0.4968,0.3393,0.658,0.4968,0.3772,0.5978,0.882,-0.056
final_token,S2_3P,6,0.7855,0.5037,0.4041,0.606,0.5055,0.3567,0.671,0.4985,0.3742,0.6019,0.882,-0.0965
final_token,S2_3P,7,0.814,0.5014,0.4005,0.6006,0.5046,0.3332,0.6834,0.5005,0.3865,0.5981,0.882,-0.068
final_token,S2_3P,8,0.8245,0.493,0.3785,0.601,0.4991,0.324,0.6839,0.5017,0.3865,0.6008,0.882,-0.0575
final_token,S2_3P,9,0.8495,0.4984,0.3831,0.6,0.493,0.3045,0.6751,0.4991,0.3866,0.6025,0.882,-0.0325
final_token,S2_3P,10,0.877,0.5015,0.3836,0.6053,0.5,0.2957,0.6893,0.5006,0.3902,0.5993,0.882,-0.005
final_token,S2_3P,11,0.87,0.498,0.3895,0.6081,0.5006,0.3038,0.676,0.501,0.3817,0.598,0.882,-0.012
final_token,S2_3P,12,0.872,0.4975,0.3982,0.6048,0.5024,0.3217,0.6935,0.5,0.3847,0.6018,0.882,-0.01
final_token,S2_3P,13,0.8675,0.5019,0.4012,0.606,0.4947,0.3049,0.6733,0.5,0.3892,0.5988,0.882,-0.0145
final_token,S2_3P,14,0.8705,0.5031,0.3917,0.6088,0.4992,0.3009,0.6845,0.4986,0.3782,0.6013,0.882,-0.0115
final_token,S2_3P,15,0.87,0.4986,0.3992,0.61,0.5002,0.3023,0.6775,0.4998,0.3863,0.5961,0.882,-0.012
final_token,S2_3P,16,0.8895,0.5027,0.401,0.6058,0.5066,0.3237,0.6917,0.5003,0.3816,0.6038,0.882,0.0075
final_token,S2_3P,17,0.8725,0.4978,0.3896,0.6028,0.4993,0.3265,0.6778,0.5007,0.3872,0.6058,0.882,-0.0095
final_token,S2_3P,18,0.8655,0.4987,0.3939,0.6,0.4987,0.3108,0.684,0.5004,0.3949,0.6048,0.882,-0.0165
final_token,S2_3P,19,0.8685,0.4992,0.3937,0.5963,0.5033,0.317,0.6845,0.5017,0.3881,0.5948,0.882,-0.0135
final_token,S2_3P,20,0.88,0.4984,0.3857,0.6085,0.4978,0.306,0.6843,0.503,0.3957,0.598,0.882,-0.002
final_token,S2_3P,21,0.8975,0.502,0.3812,0.6103,0.4999,0.309,0.6968,0.501,0.3897,0.5955,0.882,0.0155
final_token,S2_3P,22,0.898,0.501,0.3799,0.6138,0.4998,0.2824,0.7043,0.5016,0.3895,0.6018,0.882,0.016
final_token,S2_3P,23,0.898,0.4988,0.39,0.6153,0.4982,0.2984,0.7128,0.5018,0.3812,0.601,0.882,0.016
final_token,S2_3P,24,0.916,0.4987,0.386,0.6225,0.5024,0.2717,0.7263,0.5014,0.3714,0.6051,0.882,0.034
final_token,S2_3P,25,0.917,0.5069,0.389,0.6171,0.4985,0.2807,0.7198,0.5007,0.3737,0.5983,0.882,0.035
final_token,S2_3P,26,0.9275,0.4988,0.3799,0.6166,0.504,0.2767,0.7326,0.5013,0.3705,0.6028,0.882,0.0455
final_token,S2_3P,27,0.9215,0.5043,0.3907,0.624,0.4912,0.2774,0.7083,0.5008,0.3752,0.595,0.882,0.0395
mean,S1_1P,emb,0.775,0.4994,0.4214,0.5861,0.5006,0.385,0.6138,0.4989,0.3967,0.6068,0.775,0.0
mean,S1_1P,0,0.776,0.501,0.407,0.5873,0.4989,0.3792,0.6433,0.4982,0.39,0.5968,0.775,0.001
mean,S1_1P,1,0.768,0.4993,0.4357,0.5638,0.5028,0.4442,0.5703,0.498,0.3892,0.5965,0.775,-0.007
mean,S1_1P,2,0.776,0.5025,0.4322,0.5718,0.4973,0.427,0.5553,0.4984,0.386,0.6003,0.775,0.001
mean,S1_1P,3,0.7845,0.5006,0.4297,0.5665,0.5008,0.4307,0.5615,0.4979,0.3862,0.604,0.775,0.0095
