model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Qwen2.5-1.5B-Instruct,mean,S2_1P,4,0.8855000000000001,0.7780000000000001,0.046081449629975804
Qwen2.5-1.5B-Instruct,mean,S2_1P,5,0.8875,0.764,0.037316216314090586
Qwen2.5-1.5B-Instruct,mean,S2_1P,6,0.8825,0.7545,0.03236510466536448
Qwen2.5-1.5B-Instruct,mean,S2_1P,7,0.8779999999999999,0.7805,0.04279018579066935
Qwen2.5-1.5B-Instruct,mean,S2_1P,8,0.883,0.813,0.03966736694059737
Qwen2.5-1.5B-Instruct,mean,S2_1P,9,0.8789999999999999,0.8140000000000001,0.0269072480941474
Qwen2.5-1.5B-Instruct,mean,S2_1P,10,0.8945000000000001,0.829,0.022825424421026676
Qwen2.5-1.5B-Instruct,mean,S2_1P,11,0.893,0.8265,0.022989127865145308
Qwen2.5-1.5B-Instruct,mean,S2_1P,12,0.8880000000000001,0.8255000000000001,0.01866815470259444
Qwen2.5-1.5B-Instruct,mean,S2_1P,13,0.883,0.8379999999999999,0.026476404589747465
Qwen2.5-1.5B-Instruct,mean,S2_1P,14,0.8869999999999999,0.8360000000000001,0.023579652245103215
Qwen2.5-1.5B-Instruct,mean,S2_1P,15,0.8915,0.8415000000000001,0.018748333259252667
Qwen2.5-1.5B-Instruct,mean,S2_1P,16,0.8915,0.8484999999999999,0.01647725705328409
Qwen2.5-1.5B-Instruct,mean,S2_1P,17,0.8845000000000001,0.8554999999999999,0.019710403344426995
Qwen2.5-1.5B-Instruct,mean,S2_1P,18,0.8825,0.85,0.019364916731037095
Qwen2.5-1.5B-Instruct,mean,S2_1P,19,0.8869999999999999,0.8469999999999999,0.022660538387249324
Qwen2.5-1.5B-Instruct,mean,S2_1P,20,0.9065,0.852,0.02200000000000002
Qwen2.5-1.5B-Instruct,mean,S2_1P,21,0.9179999999999999,0.851,0.018801595676963143
Qwen2.5-1.5B-Instruct,mean,S2_1P,22,0.907,0.829,0.024361855430159667
Qwen2.5-1.5B-Instruct,mean,S2_1P,23,0.9109999999999999,0.8205,0.02364318083507376
Qwen2.5-1.5B-Instruct,mean,S2_1P,24,0.9055,0.8150000000000001,0.031080540535840095
Qwen2.5-1.5B-Instruct,mean,S2_1P,25,0.9030000000000001,0.8099999999999999,0.0317175030543074
Qwen2.5-1.5B-Instruct,mean,S2_1P,26,0.9119999999999999,0.8755000000000001,0.04130375285612674
Qwen2.5-1.5B-Instruct,mean,S2_1P,27,0.8975,0.86,0.03456877203488721
Qwen2.5-1.5B-Instruct,mean,S2_3P,0,0.867,0.8450000000000001,0.044028399925502594
Qwen2.5-1.5B-Instruct,mean,S2_3P,1,0.8644999999999999,0.7655,0.028080242164197942
Qwen2.5-1.5B-Instruct,mean,S2_3P,2,0.8640000000000001,0.746,0.04202975136733507
Qwen2.5-1.5B-Instruct,mean,S2_3P,3,0.8799999999999999,0.7689999999999999,0.045634416836418494
Qwen2.5-1.5B-Instruct,mean,S2_3P,4,0.8870000000000001,0.7699999999999999,0.04559056920021943
Qwen2.5-1.5B-Instruct,mean,S2_3P,5,0.893,0.7715,0.03812479508141653
Qwen2.5-1.5B-Instruct,mean,S2_3P,6,0.8865000000000001,0.7609999999999999,0.04331858723458092
Qwen2.5-1.5B-Instruct,mean,S2_3P,7,0.8880000000000001,0.7899999999999999,0.038678159211627414
Qwen2.5-1.5B-Instruct,mean,S2_3P,8,0.889,0.8125,0.04130980513146969
Qwen2.5-1.5B-Instruct,mean,S2_3P,9,0.8885,0.8160000000000001,0.03211697370550344
Qwen2.5-1.5B-Instruct,mean,S2_3P,10,0.9004999999999999,0.8275,0.021931712199461294
Qwen2.5-1.5B-Instruct,mean,S2_3P,11,0.9035,0.833,0.023484037131634765
Qwen2.5-1.5B-Instruct,mean,S2_3P,12,0.899,0.8295,0.018748333259252667
Qwen2.5-1.5B-Instruct,mean,S2_3P,13,0.901,0.8445,0.01721917535772255
Qwen2.5-1.5B-Instruct,mean,S2_3P,14,0.8969999999999999,0.8445,0.013638181696985857
Qwen2.5-1.5B-Instruct,mean,S2_3P,15,0.8985000000000001,0.8564999999999999,0.009433981132056601
Qwen2.5-1.5B-Instruct,mean,S2_3P,16,0.898,0.8550000000000001,0.014265342617687072
Qwen2.5-1.5B-Instruct,mean,S2_3P,17,0.8945000000000001,0.8525,0.015604486534327262
Qwen2.5-1.5B-Instruct,mean,S2_3P,18,0.8850000000000001,0.8549999999999999,0.021154195801306213
Qwen2.5-1.5B-Instruct,mean,S2_3P,19,0.8935000000000001,0.8560000000000001,0.0272763633939717
Qwen2.5-1.5B-Instruct,mean,S2_3P,20,0.9015000000000001,0.8605,0.03444560929929966
Qwen2.5-1.5B-Instruct,mean,S2_3P,21,0.9065,0.851,0.03261901286060017
Qwen2.5-1.5B-Instruct,mean,S2_3P,22,0.9004999999999999,0.8344999999999999,0.04559056920021947
Qwen2.5-1.5B-Instruct,mean,S2_3P,23,0.9045,0.8299999999999998,0.042731721238443016
Qwen2.5-1.5B-Instruct,mean,S2_3P,24,0.901,0.8184999999999999,0.045321076774498634
Qwen2.5-1.5B-Instruct,mean,S2_3P,25,0.899,0.8125,0.045650848842053324
Qwen2.5-1.5B-Instruct,mean,S2_3P,26,0.8975,0.8699999999999999,0.05796550698475774
Qwen2.5-1.5B-Instruct,mean,S2_3P,27,0.893,0.8780000000000001,0.06087692502089767
Qwen2.5-1.5B-Instruct,mean,S1_1P,0,0.776,0.7685,0.0368985094549902
Qwen2.5-1.5B-Instruct,mean,S1_1P,1,0.768,0.7835000000000001,0.029086079144498
Qwen2.5-1.5B-Instruct,mean,S1_1P,2,0.776,0.781,0.04507216435894776
Qwen2.5-1.5B-Instruct,mean,S1_1P,3,0.7845,0.7845,0.055167925463986835
Qwen2.5-1.5B-Instruct,mean,S1_1P,4,0.7889999999999999,0.7775000000000001,0.050114868053303285
Qwen2.5-1.5B-Instruct,mean,S1_1P,5,0.7845000000000001,0.764,0.042643874120440795
Qwen2.5-1.5B-Instruct,mean,S1_1P,6,0.7955,0.7735000000000001,0.049050993873722845
Qwen2.5-1.5B-Instruct,mean,S1_1P,7,0.7975,0.7825,0.04452527372178636
Qwen2.5-1.5B-Instruct,mean,S1_1P,8,0.8039999999999999,0.7924999999999999,0.04386342439892263
Qwen2.5-1.5B-Instruct,mean,S1_1P,9,0.8014999999999999,0.7949999999999999,0.04380639222761901
Qwen2.5-1.5B-Instruct,mean,S1_1P,10,0.8039999999999999,0.798,0.028530685235374224
Qwen2.5-1.5B-Instruct,mean,S1_1P,11,0.806,0.7895000000000001,0.029774149861918803
Qwen2.5-1.5B-Instruct,mean,S1_1P,12,0.8029999999999999,0.7885,0.03238054971738433
Qwen2.5-1.5B-Instruct,mean,S1_1P,13,0.8065,0.7940000000000002,0.027775888824662334
Qwen2.5-1.5B-Instruct,mean,S1_1P,14,0.8099999999999999,0.7965,0.021272047386182658
Qwen2.5-1.5B-Instruct,mean,S1_1P,15,0.8074999999999999,0.8,0.021737065119284124
Qwen2.5-1.5B-Instruct,mean,S1_1P,16,0.8130000000000001,0.8004999999999999,0.023151673805580475
Qwen2.5-1.5B-Instruct,mean,S1_1P,17,0.8039999999999999,0.7994999999999999,0.01914418971907661
Qwen2.5-1.5B-Instruct,mean,S1_1P,18,0.807,0.7985,0.021412613105363864
Qwen2.5-1.5B-Instruct,mean,S1_1P,19,0.806,0.795,0.01806931099959265
Qwen2.5-1.5B-Instruct,mean,S1_1P,20,0.8174999999999999,0.804,0.021965882636488826
Qwen2.5-1.5B-Instruct,mean,S1_1P,21,0.8245000000000001,0.7985000000000001,0.025219040425836944
Qwen2.5-1.5B-Instruct,mean,S1_1P,22,0.82,0.7995000000000001,0.032480763537823414
Qwen2.5-1.5B-Instruct,mean,S1_1P,23,0.8130000000000001,0.795,0.03253459696999488
Qwen2.5-1.5B-Instruct,mean,S1_1P,24,0.8105,0.7885,0.04069397989875159
Qwen2.5-1.5B-Instruct,mean,S1_1P,25,0.8135000000000001,0.7914999999999999,0.04548626166217661
Qwen2.5-1.5B-Instruct,mean,S1_1P,26,0.8875,0.7949999999999999,0.033911649915626375
Qwen2.5-1.5B-Instruct,mean,S1_1P,27,0.8414999999999999,0.7855000000000001,0.0325806691152898
Qwen2.5-1.5B-Instruct,mean,S1_3P,0,0.8390000000000001,0.8125,0.035305806887819445
Qwen2.5-1.5B-Instruct,mean,S1_3P,1,0.8224999999999998,0.8234999999999999,0.02252776065213763
Qwen2.5-1.5B-Instruct,mean,S1_3P,2,0.8315000000000001,0.8344999999999999,0.01764936259472278
Qwen2.5-1.5B-Instruct,mean,S1_3P,3,0.828,0.8314999999999999,0.017705931209625783
Qwen2.5-1.5B-Instruct,mean,S1_3P,4,0.8360000000000001,0.8255000000000001,0.02380126047082381
Qwen2.5-1.5B-Instruct,mean,S1_3P,5,0.8385,0.8244999999999999,0.030356218473321095
Qwen2.5-1.5B-Instruct,mean,S1_3P,6,0.8355,0.8320000000000001,0.0250199920063936
Qwen2.5-1.5B-Instruct,mean,S1_3P,7,0.835,0.8324999999999999,0.025049950099750685
Qwen2.5-1.5B-Instruct,mean,S1_3P,8,0.8334999999999999,0.8324999999999999,0.030024989592004885
Qwen2.5-1.5B-Instruct,mean,S1_3P,9,0.8344999999999999,0.8300000000000001,0.02758622844826742
Qwen2.5-1.5B-Instruct,mean,S1_3P,10,0.834,0.8300000000000001,0.021540659228538022
Qwen2.5-1.5B-Instruct,mean,S1_3P,11,0.8375,0.8339999999999999,0.01864135188230728
Qwen2.5-1.5B-Instruct,mean,S1_3P,12,0.8335000000000001,0.8285,0.021189620100417025
Qwen2.5-1.5B-Instruct,mean,S1_3P,13,0.8315000000000001,0.8240000000000001,0.022891046284519167
Qwen2.5-1.5B-Instruct,mean,S1_3P,14,0.834,0.8260000000000002,0.019786358937409397
Qwen2.5-1.5B-Instruct,mean,S1_3P,15,0.8370000000000001,0.8265,0.019000000000000034
Qwen2.5-1.5B-Instruct,mean,S1_3P,16,0.837,0.8200000000000001,0.016385969608173925
Qwen2.5-1.5B-Instruct,mean,S1_3P,17,0.8320000000000001,0.8155000000000001,0.022825424421026655
Qwen2.5-1.5B-Instruct,mean,S1_3P,18,0.8355,0.8104999999999999,0.02491987158875425
Qwen2.5-1.5B-Instruct,mean,S1_3P,19,0.8275,0.813,0.028328430948430634
Qwen2.5-1.5B-Instruct,mean,S1_3P,20,0.8385,0.8135000000000001,0.020099751242241767
Qwen2.5-1.5B-Instruct,mean,S1_3P,21,0.8554999999999999,0.8300000000000001,0.014265342617687147
Qwen2.5-1.5B-Instruct,mean,S1_3P,22,0.851,0.827,0.014628738838327788
Qwen2.5-1.5B-Instruct,mean,S1_3P,23,0.851,0.835,0.013747727084867566
Qwen2.5-1.5B-Instruct,mean,S1_3P,24,0.8419999999999999,0.8300000000000001,0.019390719429665356
Qwen2.5-1.5B-Instruct,mean,S1_3P,25,0.8484999999999999,0.8305,0.018947295321496423
Qwen2.5-1.5B-Instruct,mean,S1_3P,26,0.8985000000000001,0.8210000000000001,0.033600595232822904
Qwen2.5-1.5B-Instruct,mean,S1_3P,27,0.8859999999999999,0.8115,0.035163901945034465
