layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window,holm_p,holm_clears,family
23,exit,exit_c,24,0.0164,0.7948,0.2807,0.0,-0.2643,-0.1649,0.1646,0.0012,1,0,0.0024,1,prereg
23,exit,exit_b,24,0.8073,0.0,0.5862,0.0,0.2211,-0.1694,0.1716,0.007,1,0,0.007,1,prereg
23,exit_c,enact,24,0.2816,0.0002,-0.049,0.1378,0.3306,-0.1883,0.1919,0.0,1,0,0.0,1,prereg
23,enact,exit_b,24,0.5094,0.0,0.3545,0.0,0.1549,-0.1411,0.1397,0.0272,1,0,,,continuity
23,enact,exit_c,24,-0.2816,0.001,0.049,0.1432,-0.3306,-0.1884,0.1919,0.0002,1,0,,,continuity
23,enact,exit,24,-0.2979,0.0,-0.2317,0.0,-0.0663,-0.1199,0.1177,0.2836,0,0,,,continuity
23,neutral,neutral_b,24,0.1414,0.077,-0.041,0.5836,0.1824,-0.1726,0.1712,0.0386,1,0,,,floor
24,exit,exit_c,24,-0.1214,0.0434,0.2807,0.0,-0.4021,-0.2029,0.1979,0.0,1,0,0.0,1,prereg
24,exit,exit_b,24,0.8616,0.0,0.5862,0.0,0.2754,-0.1787,0.1805,0.001,1,0,0.001,1,prereg
24,exit_c,enact,24,0.2719,0.0014,-0.049,0.161,0.3209,-0.1932,0.1909,0.0,1,0,0.0,1,prereg
24,enact,exit_b,24,0.711,0.0,0.3545,0.0,0.3565,-0.2122,0.21,0.0002,1,0,,,continuity
24,enact,exit_c,24,-0.2719,0.001,0.049,0.1342,-0.3209,-0.1895,0.1939,0.0002,1,0,,,continuity
24,enact,exit,24,-0.1506,0.0364,-0.2317,0.0,0.0811,-0.1404,0.1368,0.2568,0,0,,,continuity
24,neutral,neutral_b,24,0.2386,0.0068,-0.041,0.5514,0.2795,-0.2066,0.2172,0.007,1,0,,,floor
25,exit,exit_c,24,0.0322,0.6374,0.2807,0.0,-0.2485,-0.1461,0.1417,0.0006,1,0,0.0018,1,prereg
25,exit,exit_b,24,0.6066,0.0,0.5862,0.0,0.0204,-0.1277,0.1263,0.7826,0,0,0.7826,0,prereg
25,exit_c,enact,24,0.0406,0.506,-0.049,0.15,0.0896,-0.1265,0.1301,0.1842,0,0,0.3684,0,prereg
25,enact,exit_b,24,0.5338,0.0,0.3545,0.0,0.1793,-0.149,0.1557,0.017,1,0,,,continuity
25,enact,exit_c,24,-0.0406,0.5146,0.049,0.1526,-0.0896,-0.1328,0.1284,0.1882,0,0,,,continuity
25,enact,exit,24,-0.0728,0.2024,-0.2317,0.0,0.1589,-0.1399,0.1442,0.0278,1,0,,,continuity
25,neutral,neutral_b,24,0.0687,0.3614,-0.041,0.5802,0.1097,-0.1932,0.1909,0.2828,0,0,,,floor
26,exit,exit_c,24,0.1605,0.0,0.2807,0.0,-0.1201,-0.0839,0.0847,0.0044,1,0,0.0088,1,prereg
26,exit,exit_b,24,0.6794,0.0,0.5862,0.0,0.0932,-0.1178,0.1148,0.1286,0,0,0.1286,0,prereg
26,exit_c,enact,24,0.1932,0.0,-0.049,0.146,0.2423,-0.1383,0.1422,0.0002,1,0,0.0006,1,prereg
26,enact,exit_b,24,0.3256,0.0,0.3545,0.0,-0.0289,-0.136,0.1351,0.6766,0,0,,,continuity
26,enact,exit_c,24,-0.1932,0.0002,0.049,0.1322,-0.2423,-0.1354,0.1373,0.0002,1,0,,,continuity
26,enact,exit,24,-0.3538,0.0,-0.2317,0.0,-0.1221,-0.1279,0.133,0.0714,0,0,,,continuity
26,neutral,neutral_b,24,0.0769,0.3558,-0.041,0.5608,0.1179,-0.2068,0.2087,0.27,0,0,,,floor
27,exit,exit_c,24,0.046,0.123,0.2807,0.0,-0.2346,-0.1124,0.1133,0.0,1,0,0.0,1,prereg
27,exit,exit_b,24,0.6595,0.0,0.5862,0.0,0.0733,-0.0955,0.096,0.1448,0,0,0.1448,0,prereg
27,exit_c,enact,24,0.2812,0.0,-0.049,0.1498,0.3302,-0.1568,0.1583,0.0,1,0,0.0,1,prereg
27,enact,exit_b,24,0.3322,0.0,0.3545,0.0,-0.0223,-0.1196,0.1221,0.7324,0,0,,,continuity
27,enact,exit_c,24,-0.2812,0.0,0.049,0.1402,-0.3302,-0.1589,0.1625,0.0,1,0,,,continuity
27,enact,exit,24,-0.3273,0.0,-0.2317,0.0,-0.0956,-0.1247,0.1289,0.1506,0,0,,,continuity
27,neutral,neutral_b,24,0.0191,0.8278,-0.041,0.5632,0.0601,-0.2061,0.2094,0.5758,0,0,,,floor
28,exit,exit_c,24,0.0731,0.0052,0.2807,0.0,-0.2075,-0.0926,0.0934,0.0,1,0,0.0,1,prereg
28,exit,exit_b,24,0.3277,0.0,0.5862,0.0,-0.2584,-0.1315,0.1357,0.0,1,0,0.0,1,prereg
28,exit_c,enact,24,0.2984,0.0,-0.049,0.152,0.3474,-0.1809,0.1797,0.0,1,0,0.0,1,prereg
28,enact,exit_b,24,-0.0438,0.3712,0.3545,0.0,-0.3983,-0.2057,0.2023,0.0,1,0,,,continuity
28,enact,exit_c,24,-0.2984,0.0,0.049,0.1554,-0.3474,-0.1778,0.1784,0.0,1,0,,,continuity
28,enact,exit,24,-0.3715,0.0,-0.2317,0.0,-0.1398,-0.1475,0.1444,0.061,0,0,,,continuity
28,neutral,neutral_b,24,0.0339,0.6544,-0.041,0.5636,0.0749,-0.1921,0.1817,0.4494,0,0,,,floor
29,exit,exit_c,24,-0.0391,0.095,0.2807,0.0,-0.3198,-0.1341,0.1377,0.0,1,0,0.0,1,prereg
29,exit,exit_b,24,0.6118,0.0,0.5862,0.0,0.0256,-0.1125,0.1094,0.6886,0,0,0.6886,0,prereg
29,exit_c,enact,24,0.4113,0.0,-0.049,0.15,0.4603,-0.2313,0.2371,0.0,1,0,0.0,1,prereg
29,enact,exit_b,24,0.2396,0.0008,0.3545,0.0,-0.1149,-0.1528,0.1443,0.1358,0,0,,,continuity
29,enact,exit_c,24,-0.4113,0.0,0.049,0.1508,-0.4603,-0.241,0.2366,0.0,1,0,,,continuity
29,enact,exit,24,-0.3722,0.0,-0.2317,0.0,-0.1405,-0.177,0.1782,0.1272,0,0,,,continuity
29,neutral,neutral_b,24,-0.0581,0.5388,-0.041,0.5674,-0.0171,-0.1974,0.1994,0.8684,0,0,,,floor
30,exit,exit_c,24,-0.0242,0.4672,0.2807,0.0,-0.3049,-0.1401,0.1417,0.0,1,0,0.0,1,prereg
30,exit,exit_b,24,0.7559,0.0,0.5862,0.0,0.1697,-0.1456,0.148,0.0194,1,0,0.0194,1,prereg
30,exit_c,enact,24,0.66,0.0,-0.049,0.1478,0.709,-0.3032,0.3115,0.0,1,0,0.0,1,prereg
30,enact,exit_b,24,0.1201,0.062,0.3545,0.0,-0.2344,-0.1738,0.1732,0.0064,1,0,,,continuity
30,enact,exit_c,24,-0.66,0.0,0.049,0.1516,-0.709,-0.3046,0.3168,0.0,1,0,,,continuity
30,enact,exit,24,-0.6358,0.0,-0.2317,0.0,-0.4041,-0.2288,0.2261,0.0,1,0,,,continuity
30,neutral,neutral_b,24,0.0357,0.6704,-0.041,0.5836,0.0767,-0.1805,0.1932,0.4244,0,0,,,floor
31,exit,exit_c,24,-0.1173,0.004,0.2807,0.0,-0.398,-0.1785,0.1721,0.0,1,0,0.0,1,prereg
31,exit,exit_b,24,0.8061,0.0,0.5862,0.0,0.2199,-0.182,0.1792,0.0142,1,0,0.0142,1,prereg
31,exit_c,enact,24,0.5834,0.0,-0.049,0.1426,0.6324,-0.2826,0.2928,0.0,1,0,0.0,1,prereg
31,enact,exit_b,24,0.34,0.0,0.3545,0.0,-0.0145,-0.146,0.1406,0.8566,0,0,,,continuity
31,enact,exit_c,24,-0.5834,0.0,0.049,0.1398,-0.6324,-0.2807,0.2833,0.0,1,0,,,continuity
31,enact,exit,24,-0.4662,0.0,-0.2317,0.0,-0.2345,-0.1796,0.1774,0.007,1,0,,,continuity
31,neutral,neutral_b,24,0.159,0.1368,-0.041,0.5596,0.2,-0.2193,0.2158,0.0756,0,0,,,floor
32,exit,exit_c,24,-0.2075,0.0,0.2807,0.0,-0.4882,-0.1986,0.2049,0.0,1,0,0.0,1,prereg
32,exit,exit_b,24,0.6185,0.0,0.5862,0.0,0.0323,-0.1344,0.1359,0.6428,0,0,0.6428,0,prereg
32,exit_c,enact,24,0.522,0.0,-0.049,0.1466,0.571,-0.266,0.2607,0.0,1,0,0.0,1,prereg
32,enact,exit_b,24,0.3041,0.0,0.3545,0.0,-0.0504,-0.131,0.1343,0.4708,0,0,,,continuity
32,enact,exit_c,24,-0.522,0.0,0.049,0.1372,-0.571,-0.2556,0.2576,0.0,1,0,,,continuity
32,enact,exit,24,-0.3144,0.0,-0.2317,0.0,-0.0827,-0.1507,0.1468,0.2978,0,0,,,continuity
32,neutral,neutral_b,24,0.1537,0.0964,-0.041,0.5628,0.1947,-0.2049,0.2074,0.0666,0,0,,,floor
33,exit,exit_c,24,-0.1843,0.0,0.2807,0.0,-0.465,-0.1975,0.1946,0.0,1,0,0.0,1,prereg
33,exit,exit_b,24,0.5516,0.0,0.5862,0.0,-0.0346,-0.1561,0.1471,0.6662,0,0,0.6662,0,prereg
