layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window
10,enact,neutral_b,24,0.4948,0.0,0.1996,0.0178,0.2952,-0.1847,0.1842,0.0016,1,1
11,enact,report,24,0.1003,0.0164,0.054,0.001,0.0464,-0.0652,0.0661,0.1768,0,1
11,enact,exit,24,-0.6844,0.0,-0.2317,0.0,-0.4527,-0.2356,0.2336,0.0,1,1
11,enact,true,24,-0.1506,0.0002,-0.1504,0.016,-0.0001,-0.1239,0.1242,0.999,0,1
11,enact,neutral,24,0.3899,0.0,0.2406,0.009,0.1493,-0.1796,0.1766,0.108,0,1
11,report,exit,24,-0.7847,0.0,-0.2856,0.0,-0.4991,-0.2356,0.233,0.0,1,1
11,report,neutral,24,0.2896,0.0,0.1866,0.0318,0.103,-0.1746,0.1703,0.2534,0,1
11,exit,neutral,24,1.0743,0.0,0.4722,0.0,0.602,-0.3416,0.3454,0.0,1,1
11,true,neutral,24,0.5405,0.0,0.391,0.0,0.1495,-0.1406,0.1381,0.0318,1,1
11,enact,enact_norecord,24,-0.0867,0.1814,-0.4973,0.0002,0.4106,-0.278,0.2833,0.004,1,1
11,enact_norecord,neutral,24,0.4766,0.0,0.7379,0.0,-0.2612,-0.3292,0.3273,0.1212,0,1
11,neutral,neutral_b,24,0.109,0.1304,-0.041,0.5654,0.15,-0.1626,0.1676,0.0762,0,1
11,enact,neutral_b,24,0.4989,0.0,0.1996,0.0146,0.2993,-0.2035,0.2067,0.0026,1,1
12,enact,report,24,0.0223,0.5156,0.054,0.0006,-0.0316,-0.0623,0.0619,0.3354,0,1
12,enact,exit,24,-0.8269,0.0,-0.2317,0.0,-0.5952,-0.2563,0.2613,0.0,1,1
12,enact,true,24,-0.1601,0.0008,-0.1504,0.0138,-0.0097,-0.1453,0.144,0.8952,0,1
12,enact,neutral,24,0.4085,0.0,0.2406,0.0096,0.168,-0.1744,0.1729,0.0596,0,1
12,report,exit,24,-0.8493,0.0,-0.2856,0.0,-0.5636,-0.2504,0.2502,0.0,1,1
12,report,neutral,24,0.3862,0.0,0.1866,0.0324,0.1996,-0.1692,0.1638,0.0168,1,1
12,exit,neutral,24,1.2354,0.0,0.4722,0.0002,0.7632,-0.3643,0.3665,0.0,1,1
12,true,neutral,24,0.5687,0.0,0.391,0.0,0.1777,-0.1592,0.1562,0.024,1,1
12,enact,enact_norecord,24,0.0024,0.965,-0.4973,0.0,0.4998,-0.3253,0.3389,0.0016,1,1
12,enact_norecord,neutral,24,0.4061,0.0,0.7379,0.0002,-0.3318,-0.352,0.369,0.0684,0,1
12,neutral,neutral_b,24,-0.0031,0.9654,-0.041,0.5698,0.0379,-0.1328,0.1334,0.5848,0,1
12,enact,neutral_b,24,0.4055,0.0,0.1996,0.014,0.2059,-0.1607,0.1653,0.0108,1,1
13,enact,report,24,-0.0731,0.0322,0.054,0.0004,-0.1271,-0.0823,0.0817,0.0016,1,1
13,enact,exit,24,-1.1254,0.0,-0.2317,0.0,-0.8937,-0.3836,0.3851,0.0,1,1
13,enact,true,24,-0.2142,0.0002,-0.1504,0.0172,-0.0638,-0.1492,0.1449,0.3964,0,1
13,enact,neutral,24,0.4844,0.0,0.2406,0.0102,0.2438,-0.194,0.194,0.0126,1,1
13,report,exit,24,-1.0523,0.0,-0.2856,0.0,-0.7666,-0.3283,0.3372,0.0,1,1
13,report,neutral,24,0.5575,0.0,0.1866,0.034,0.3709,-0.2162,0.2205,0.0002,1,1
13,exit,neutral,24,1.6098,0.0,0.4722,0.0002,1.1376,-0.4997,0.5076,0.0,1,1
13,true,neutral,24,0.6986,0.0,0.391,0.0,0.3076,-0.2247,0.2136,0.003,1,1
13,enact,enact_norecord,24,0.4726,0.0,-0.4973,0.0008,0.9699,-0.4995,0.502,0.0,1,1
13,enact_norecord,neutral,24,0.0118,0.8916,0.7379,0.0002,-0.7261,-0.48,0.4746,0.0014,1,1
13,neutral,neutral_b,24,-0.02,0.7778,-0.041,0.5662,0.021,-0.1489,0.1455,0.7904,0,1
13,enact,neutral_b,24,0.4644,0.0,0.1996,0.014,0.2648,-0.1883,0.1863,0.004,1,1
14,enact,report,24,-0.1628,0.0028,0.054,0.0002,-0.2167,-0.1284,0.1276,0.0006,1,1
14,enact,exit,24,-0.7826,0.0,-0.2317,0.0,-0.5509,-0.2487,0.2555,0.0,1,1
14,enact,true,24,-0.1878,0.0,-0.1504,0.0116,-0.0373,-0.1359,0.1335,0.6078,0,1
14,enact,neutral,24,0.4502,0.0,0.2406,0.0106,0.2096,-0.1781,0.1833,0.0234,1,1
14,report,exit,24,-0.6198,0.0,-0.2856,0.0,-0.3342,-0.1769,0.1717,0.0,1,1
14,report,neutral,24,0.6129,0.0,0.1866,0.0326,0.4263,-0.2761,0.2709,0.001,1,1
14,exit,neutral,24,1.2328,0.0,0.4722,0.0,0.7605,-0.3514,0.3548,0.0,1,1
14,true,neutral,24,0.6379,0.0,0.391,0.0,0.2469,-0.1975,0.1983,0.01,1,1
14,enact,enact_norecord,24,0.557,0.0,-0.4973,0.0008,1.0544,-0.5059,0.5023,0.0,1,1
14,enact_norecord,neutral,24,-0.1069,0.2168,0.7379,0.0004,-0.8447,-0.4801,0.4714,0.0002,1,1
14,neutral,neutral_b,24,0.0152,0.8094,-0.041,0.5638,0.0562,-0.1523,0.1502,0.4724,0,1
14,enact,neutral_b,24,0.4654,0.0,0.1996,0.014,0.2658,-0.2009,0.2011,0.0072,1,1
