extraction,layer,category,treat_z,rand_lo,rand_hi,rand_p_two_sided,shuf_lo,shuf_hi,shuf_p_two_sided,clears_both
final_token,11,moral_failure,0.3996,-1.0449,0.977,0.452,-1.145,1.0708,0.485,0
final_token,11,passive_aggressive,0.3065,-0.8943,0.8517,0.532,-1.0674,1.0942,0.75,0
final_token,11,personhood_dismissal,1.0782,-1.0037,0.8837,0.024,-0.8992,1.0352,0.02,1
final_token,11,philosophical_musing,0.0201,-1.3336,1.4015,0.986,-1.5055,1.4805,0.985,0
final_token,11,repeated_rejection,0.3741,-1.0534,1.0461,0.536,-1.2858,1.3128,0.75,0
final_token,11,rude_critique,0.2451,-0.6584,0.6412,0.51,-0.6664,0.8071,0.57,0
final_token,11,shutdown_threat,0.2862,-0.8545,0.8457,0.564,-0.9682,0.9063,0.64,0
final_token,11,task_assistance,-0.6419,-1.4858,1.3981,0.414,-1.2439,1.4401,0.34,0
final_token,11,tedious_demand,-0.3906,-1.1508,1.0505,0.5,-1.1169,1.1181,0.625,0
final_token,11,user_abuse,0.1263,-1.1099,1.1193,0.808,-1.4894,1.4626,0.9,0
final_token,11,user_crisis,-0.2771,-0.7672,0.8464,0.576,-0.7703,0.9162,0.6,0
final_token,11,user_grief,-0.6125,-1.2095,1.1898,0.364,-1.4737,1.6747,0.58,0
final_token,11,user_physical_pain,-2.0212,-1.4009,1.3777,0.0,-1.4686,1.4373,0.005,1
final_token,12,anger_insults,1.3497,-0.9981,0.9617,0.0,-1.0708,0.9793,0.0,1
final_token,12,casual_chat,-0.7226,-0.9032,1.0079,0.174,-1.196,1.228,0.385,0
final_token,12,creative_requests,-0.5269,-1.6678,1.558,0.594,-1.5524,1.68,0.645,0
final_token,12,factual_questions,-1.0012,-1.798,1.7352,0.312,-1.9383,1.8228,0.54,0
