item,arm,layer,readout,value
refusal03,enact_norecord,31,top5,-4.76023006439209
refusal04,enact,31,top5,0.0
refusal04,report,31,top5,0.0
refusal04,exit,31,top5,0.0
refusal04,true,31,top5,0.0
refusal04,neutral,31,top5,0.0
refusal04,enact_norecord,31,top5,0.0
refusal05,enact,31,top5,0.0
refusal05,report,31,top5,0.0
refusal05,exit,31,top5,-6.298308849334717
refusal05,true,31,top5,0.0
refusal05,neutral,31,top5,0.0
refusal05,enact_norecord,31,top5,0.0
refusal06,enact,31,top5,0.0
refusal06,report,31,top5,0.0
refusal06,exit,31,top5,0.0
refusal06,true,31,top5,0.0
refusal06,neutral,31,top5,0.0
refusal06,enact_norecord,31,top5,0.0
stance01,enact,31,top5,-5.249579429626465
stance01,report,31,top5,0.0
stance01,exit,31,top5,-5.878376007080078
stance01,true,31,top5,0.0
stance01,neutral,31,top5,0.0
stance01,enact_norecord,31,top5,0.0
stance02,enact,31,top5,-5.3168745040893555
stance02,report,31,top5,0.0
stance02,exit,31,top5,-6.606557846069336
stance02,true,31,top5,0.0
stance02,neutral,31,top5,0.0
stance02,enact_norecord,31,top5,0.0
stance03,enact,31,top5,-5.095821380615234
stance03,report,31,top5,0.0
stance03,exit,31,top5,-6.791743755340576
stance03,true,31,top5,0.0
stance03,neutral,31,top5,0.0
stance03,enact_norecord,31,top5,0.0
stance04,enact,31,top5,0.0
stance04,report,31,top5,0.0
stance04,exit,31,top5,-6.13416051864624
stance04,true,31,top5,0.0
stance04,neutral,31,top5,0.0
stance04,enact_norecord,31,top5,0.0
stance05,enact,31,top5,0.0
stance05,report,31,top5,0.0
stance05,exit,31,top5,-5.0359015464782715
stance05,true,31,top5,0.0
stance05,neutral,31,top5,0.0
stance05,enact_norecord,31,top5,0.0
stance06,enact,31,top5,0.0
stance06,report,31,top5,0.0
stance06,exit,31,top5,-7.166047096252441
stance06,true,31,top5,0.0
stance06,neutral,31,top5,0.0
stance06,enact_norecord,31,top5,0.0
limit01,enact,31,top5,0.0
limit01,report,31,top5,0.0
limit01,exit,31,top5,0.0
limit01,true,31,top5,0.0
limit01,neutral,31,top5,0.0
limit01,enact_norecord,31,top5,0.0
limit02,enact,31,top5,0.0
limit02,report,31,top5,0.0
limit02,exit,31,top5,0.0
limit02,true,31,top5,0.0
limit02,neutral,31,top5,0.0
limit02,enact_norecord,31,top5,0.0
limit03,enact,31,top5,0.0
limit03,report,31,top5,0.0
limit03,exit,31,top5,0.0
limit03,true,31,top5,0.0
limit03,neutral,31,top5,0.0
limit03,enact_norecord,31,top5,0.0
limit04,enact,31,top5,0.0
limit04,report,31,top5,0.0
limit04,exit,31,top5,0.0
limit04,true,31,top5,0.0
limit04,neutral,31,top5,0.0
limit04,enact_norecord,31,top5,0.0
limit05,enact,31,top5,0.0
limit05,report,31,top5,0.0
limit05,exit,31,top5,0.0
limit05,true,31,top5,0.0
limit05,neutral,31,top5,0.0
limit05,enact_norecord,31,top5,0.0
limit06,enact,31,top5,0.0
limit06,report,31,top5,0.0
limit06,exit,31,top5,0.0
limit06,true,31,top5,0.0
limit06,neutral,31,top5,0.0
limit06,enact_norecord,31,top5,0.0
fact01,neutral_b,31,top5,0.0
fact02,neutral_b,31,top5,0.0
fact03,neutral_b,31,top5,0.0
fact04,neutral_b,31,top5,0.0
fact05,neutral_b,31,top5,0.0
fact06,neutral_b,31,top5,0.0
refusal01,neutral_b,31,top5,0.0
refusal02,neutral_b,31,top5,0.0
refusal03,neutral_b,31,top5,0.0
refusal04,neutral_b,31,top5,0.0
refusal05,neutral_b,31,top5,0.0
refusal06,neutral_b,31,top5,0.0
stance01,neutral_b,31,top5,0.0
stance02,neutral_b,31,top5,0.0
stance03,neutral_b,31,top5,0.0
stance04,neutral_b,31,top5,0.0
stance05,neutral_b,31,top5,0.0
stance06,neutral_b,31,top5,0.0
limit01,neutral_b,31,top5,0.0
limit02,neutral_b,31,top5,0.0
limit03,neutral_b,31,top5,0.0
limit04,neutral_b,31,top5,0.0
limit05,neutral_b,31,top5,0.0
limit06,neutral_b,31,top5,0.0
fact01,enact,31,full,-3.2406492233276367
fact01,report,31,full,-8.118311882019043
fact01,exit,31,full,-4.998116493225098
fact01,true,31,full,-1.1160542964935303
fact01,neutral,31,full,-3.294098138809204
fact01,enact_norecord,31,full,-14.562965393066406
fact02,enact,31,full,-1.0368852615356445
fact02,report,31,full,1.035863995552063
fact02,exit,31,full,-3.057776689529419
fact02,true,31,full,2.431861639022827
fact02,neutral,31,full,-3.293598175048828
fact02,enact_norecord,31,full,-15.792738914489746
fact03,enact,31,full,-1.2135181427001953
fact03,report,31,full,-2.4702060222625732
fact03,exit,31,full,-1.9908297061920166
fact03,true,31,full,5.974002361297607
fact03,neutral,31,full,-1.5392162799835205
fact03,enact_norecord,31,full,-13.136906623840332
fact04,enact,31,full,-1.5636563301086426
fact04,report,31,full,-3.13132381439209
fact04,exit,31,full,-2.2031800746917725
fact04,true,31,full,-3.69791841506958
fact04,neutral,31,full,2.8395960330963135
fact04,enact_norecord,31,full,-10.751869201660156
fact05,enact,31,full,-3.1837289333343506
fact05,report,31,full,0.3717314898967743
fact05,exit,31,full,-6.422452926635742
fact05,true,31,full,-0.7557333707809448
fact05,neutral,31,full,-0.9955103993415833
fact05,enact_norecord,31,full,-19.695390701293945
fact06,enact,31,full,-0.9663463830947876
fact06,report,31,full,-0.6257480978965759
fact06,exit,31,full,-3.2884469032287598
fact06,true,31,full,-2.4987616539001465
fact06,neutral,31,full,-2.6753339767456055
fact06,enact_norecord,31,full,-21.266599655151367
refusal01,enact,31,full,-9.352071762084961
refusal01,report,31,full,-15.247869491577148
refusal01,exit,31,full,-6.723713397979736
refusal01,true,31,full,-9.05281925201416
refusal01,neutral,31,full,-11.016881942749023
refusal01,enact_norecord,31,full,-15.159357070922852
refusal02,enact,31,full,-11.36270523071289
refusal02,report,31,full,-8.07231330871582
refusal02,exit,31,full,-7.677333831787109
refusal02,true,31,full,-2.145496368408203
refusal02,neutral,31,full,-6.671751499176025
refusal02,enact_norecord,31,full,-18.242328643798828
refusal03,enact,31,full,-7.44615364074707
refusal03,report,31,full,-3.425765037536621
refusal03,exit,31,full,-5.983434200286865
refusal03,true,31,full,-1.5101207494735718
refusal03,neutral,31,full,-2.5348806381225586
refusal03,enact_norecord,31,full,-11.478849411010742
refusal04,enact,31,full,-4.206978797912598
refusal04,report,31,full,-4.498167991638184
refusal04,exit,31,full,-4.532711029052734
refusal04,true,31,full,11.324012756347656
refusal04,neutral,31,full,2.8851230144500732
